output-code-70.txt: avg_path_length=1.3556518301100342, max_path_length=3.0526315789473686, min_path_length=1.0
output-code-71.txt: avg_path_length=1.1869809203142534, max_path_length=2.9265993265993266, min_path_length=1.0
output-code-72.txt: avg_path_length=2.5282266752854987, max_path_length=3.0784313725490198, min_path_length=1.978021978021978
output-code-73.txt: avg_path_length=1.3660933417294565, max_path_length=3.565253077975376, min_path_length=1.0
output-code-74.txt: avg_path_length=1.1559251559251558, max_path_length=3.054054054054054, min_path_length=1.0
output-code-75.txt: avg_path_length=1.4707977207977205, max_path_length=3.5384615384615383, min_path_length=1.0
output-code-76.txt: avg_path_length=1.2609523809523808, max_path_length=2.6095238095238096, min_path_length=1.0
output-code-77.txt: avg_path_length=1.21301247771836, max_path_length=2.676470588235294, min_path_length=1.0
output-code-78.txt: avg_path_length=1.9163003293674803, max_path_length=2.7586206896551726, min_path_length=1.3333333333333333
output-code-79.txt: avg_path_length=1.4833404195011337, max_path_length=3.3239087301587302, min_path_length=1.0
output-code-80.txt: avg_path_length=1.2762612387612386, max_path_length=2.8494838494838497, min_path_length=1.0
output-code-82.txt: avg_path_length=1.2508333333333335, max_path_length=2.9466666666666668, min_path_length=1.0
output-code-83.txt: avg_path_length=1.28467832105828, max_path_length=2.9242134062927496, min_path_length=1.0
output-code-84.txt: avg_path_length=2.1735119617224883, max_path_length=2.9466666666666668, min_path_length=1.3333333333333333
output-code-85.txt: avg_path_length=1.2118810487157825, max_path_length=2.6700680272108843, min_path_length=1.0
output-code-86.txt: avg_path_length=2.7465527065527064, max_path_length=2.8492307692307692, min_path_length=2.6438746438746437
output-code-87.txt: avg_path_length=2.179272879475719, max_path_length=3.0098522167487687, min_path_length=1.3333333333333333
output-code-88.txt: avg_path_length=1.273962660407369, max_path_length=3.0098522167487687, min_path_length=1.0
output-code-89.txt: avg_path_length=1.369065699858539, max_path_length=4.300085251491901, min_path_length=1.0
output-code-90.txt: avg_path_length=1.2351180206061587, max_path_length=3.4116101290014336, min_path_length=1.0
output-code-91.txt: avg_path_length=1.2717337307501244, max_path_length=3.3224043715846996, min_path_length=1.0
output-code-92.txt: avg_path_length=1.2963974920654338, max_path_length=3.2212025316455697, min_path_length=1.0
output-code-93.txt: avg_path_length=2.911653183221057, max_path_length=3.3254237288135595, min_path_length=2.497882637628554
output-code-94.txt: avg_path_length=2.8384664870732985, max_path_length=3.3239917976760083, min_path_length=2.3529411764705883
output-code-95.txt: avg_path_length=1.2240042612833637, max_path_length=3.1697054698457223, min_path_length=1.0
output-code-96.txt: avg_path_length=1.2177589852008455, max_path_length=3.226215644820296, min_path_length=1.0
output-code-97.txt: avg_path_length=2.6660637136210417, max_path_length=3.0756302521008405, min_path_length=2.256497175141243
output-code-98.txt: avg_path_length=2.0811900517782873, max_path_length=3.115873015873016, min_path_length=1.3333333333333333
