c,r,m
"<Node id=10597 labels={'Opi'} properties={'name': 'un-named', 'order_att': 7, 'value': '', 'order_box': 0}>","<Relationship id=15774 start_node_id=10597 end_node_id=10549 nodes=(10597, 10549) type=Wire properties={}>","<Node id=10549 labels={'Opi'} properties={'name': 'gamma', 'order_att': 1, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15661 start_node_id=10543 end_node_id=10550 nodes=(10543, 10550) type=Contains properties={'index': 2}>","<Node id=10550 labels={'Expression'} properties={'name': 'Expression7', 'order_att': 2, 'value': '', 'order_box': 0}>"
"<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>","<Relationship id=15669 start_node_id=10553 end_node_id=10551 nodes=(10553, 10551) type=Wire properties={'index': 0}>","<Node id=10551 labels={'Opo'} properties={'name': 'un-named', 'order_att': 2, 'value': '', 'order_box': 0}>"
"<Node id=10550 labels={'Expression'} properties={'name': 'Expression7', 'order_att': 2, 'value': '', 'order_box': 0}>","<Relationship id=15764 start_node_id=10550 end_node_id=10551 nodes=(10550, 10551) type=Port_Of properties={}>","<Node id=10551 labels={'Opo'} properties={'name': 'un-named', 'order_att': 2, 'value': '', 'order_box': 0}>"
"<Node id=10550 labels={'Expression'} properties={'name': 'Expression7', 'order_att': 2, 'value': '', 'order_box': 0}>","<Relationship id=15765 start_node_id=10550 end_node_id=10552 nodes=(10550, 10552) type=Port_Of properties={}>","<Node id=10552 labels={'Opi'} properties={'name': 'un-named', 'order_att': 2, 'value': '', 'order_box': 0}>"
"<Node id=10551 labels={'Opo'} properties={'name': 'un-named', 'order_att': 2, 'value': '', 'order_box': 0}>","<Relationship id=15779 start_node_id=10551 end_node_id=10552 nodes=(10551, 10552) type=Wire properties={}>","<Node id=10552 labels={'Opi'} properties={'name': 'un-named', 'order_att': 2, 'value': '', 'order_box': 0}>"
"<Node id=10543 labels={'Function'} properties={'name': 'seir_model_id0', 'order_att': 1, 'value': '', 'order_box': 0}>","<Relationship id=15637 start_node_id=10543 end_node_id=10553 nodes=(10543, 10553) type=Contains properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10556 labels={'Opi'} properties={'name': 'S', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15677 start_node_id=10556 end_node_id=10553 nodes=(10556, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10557 labels={'Opi'} properties={'name': 'E', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15678 start_node_id=10557 end_node_id=10553 nodes=(10557, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
"<Node id=10558 labels={'Opi'} properties={'name': 'I', 'order_att': 3, 'value': '', 'order_box': 0}>","<Relationship id=15679 start_node_id=10558 end_node_id=10553 nodes=(10558, 10553) type=Wire properties={}>","<Node id=10553 labels={'Abstract'} properties={'name': 'unpack', 'order_att': 1, 'value': {'gromet_type': 'Abstract', 'value': ['S', 'E', 'I', 'R'], 'value_type': 'List'}, 'order_box': 0}>"
